iter	Passed	Remaining
0	51	51148
1	51	25818
2	52	17343
3	52	13103
4	53	10588
5	53	8911
6	54	7689
7	54	6804
8	55	6102
9	56	5544
10	56	5078
11	56	4690
12	57	4364
13	57	4078
14	58	3831
15	58	3618
16	59	3429
17	59	3260
18	60	3106
19	60	2967
20	61	2844
21	61	2731
22	61	2631
23	62	2539
24	62	2453
25	63	2371
26	63	2299
27	64	2228
28	64	2165
29	65	2103
30	65	2046
31	65	1991
32	66	1943
33	66	1897
34	67	1852
35	67	1810
36	67	1769
37	68	1733
38	69	1703
39	69	1677
40	70	1646
41	70	1617
42	71	1592
43	72	1564
44	72	1540
45	73	1515
46	73	1492
47	74	1471
48	74	1448
49	75	1426
50	75	1405
51	75	1383
52	76	1365
53	76	1345
54	77	1328
55	78	1315
56	78	1303
57	79	1289
58	79	1274
59	80	1258
60	80	1244
61	81	1228
62	81	1214
63	82	1200
64	82	1188
65	83	1175
66	83	1163
67	84	1154
68	84	1144
69	85	1132
70	85	1120
71	86	1110
72	86	1100
73	87	1094
74	88	1086
75	88	1077
76	89	1069
77	89	1061
78	90	1053
79	90	1044
80	91	1036
81	91	1029
82	92	1018
83	92	1011
84	93	1003
85	93	997
86	94	991
87	94	984
88	95	978
89	96	972
90	97	969
91	97	963
92	99	967
93	99	963
94	100	957
95	101	953
96	101	948
97	102	943
98	103	938
99	103	932
100	104	927
101	104	923
102	105	918
103	106	914
104	106	908
105	107	904
106	108	901
107	108	899
108	109	894
109	110	890
110	110	887
111	111	883
112	111	877
113	112	873
114	113	871
115	113	868
116	114	863
117	115	861
118	115	856
119	116	852
120	116	848
121	117	842
122	117	838
123	117	833
124	118	828
125	118	824
126	119	818
127	119	813
128	119	808
129	120	804
130	120	800
131	121	796
132	121	792
133	122	789
134	122	785
135	123	781
136	123	778
137	124	779
138	125	776
139	125	773
140	126	769
141	126	765
142	127	761
143	127	757
144	128	756
145	128	754
146	129	751
147	129	747
148	130	744
149	130	740
150	131	737
151	131	733
152	132	730
153	132	728
154	132	724
155	133	721
156	133	718
157	134	715
158	134	711
159	134	708
160	135	704
161	135	702
162	136	700
163	136	698
164	137	696
165	138	695
166	138	692
167	139	690
168	139	687
169	140	684
170	140	681
171	141	679
172	141	677
173	142	675
174	142	673
175	143	670
176	143	667
177	144	665
178	144	662
179	144	660
180	145	657
181	145	654
182	146	652
183	146	649
184	146	646
185	147	643
186	147	641
187	147	638
188	148	636
189	148	633
190	149	631
191	149	628
192	149	626
193	150	623
194	150	621
195	150	619
196	151	617
197	151	614
198	152	612
199	152	610
200	152	607
201	153	605
202	153	603
203	153	600
204	154	598
205	154	596
206	155	594
207	155	591
208	156	591
209	156	588
210	156	586
211	157	584
212	157	582
213	158	581
214	158	578
215	158	576
216	159	574
217	159	572
218	159	570
219	160	568
220	160	566
221	161	564
222	161	562
223	161	560
224	162	558
225	162	556
226	162	554
227	163	552
228	163	550
229	163	548
230	164	546
231	164	545
232	165	544
233	165	542
234	166	541
235	166	539
236	167	537
237	167	536
238	167	534
239	168	532
240	168	531
241	169	529
242	169	527
243	169	526
244	170	525
245	170	523
246	171	522
247	171	520
248	172	519
249	172	517
250	173	516
251	173	514
252	173	513
253	174	511
254	174	510
255	175	508
256	175	507
257	175	506
258	176	504
259	176	502
260	177	501
261	177	499
262	177	497
263	178	496
264	178	494
265	178	493
266	179	492
267	179	491
268	180	489
269	180	488
270	180	486
271	181	485
272	181	483
273	182	482
274	182	480
275	182	479
276	183	478
277	183	476
278	183	475
279	184	473
280	184	472
281	185	471
282	185	469
283	185	468
284	186	466
285	186	465
286	186	464
287	187	462
288	187	461
289	187	460
290	188	458
291	188	457
292	188	455
293	189	454
294	189	452
295	189	451
296	190	450
297	190	448
298	190	447
299	191	446
300	191	444
301	191	443
302	192	442
303	192	440
304	192	439
305	193	438
306	193	437
307	194	436
308	194	434
309	194	433
310	195	432
311	195	430
312	195	429
313	196	428
314	196	426
315	196	425
316	196	424
317	197	423
318	197	421
319	197	420
320	198	419
321	198	418
322	199	417
323	199	416
324	199	414
325	200	413
326	200	412
327	200	411
328	201	410
329	201	408
330	201	407
331	202	406
332	202	405
333	202	404
334	202	402
335	203	401
336	203	400
337	203	399
338	204	398
339	204	397
340	204	395
341	205	394
342	205	393
343	205	392
344	206	391
345	206	390
346	206	388
347	206	387
348	207	386
349	207	385
350	207	384
351	208	383
352	208	382
353	209	381
354	209	380
355	209	379
356	210	378
357	210	377
358	210	376
359	211	375
360	211	374
361	212	373
362	212	372
363	212	371
364	213	371
365	213	370
366	214	369
367	214	368
368	214	367
369	215	366
370	215	365
371	215	364
372	216	363
373	216	362
374	217	361
375	217	360
376	217	359
377	217	358
378	218	357
379	218	356
380	219	355
381	219	354
382	219	353
383	220	353
384	220	352
385	220	351
386	221	350
387	221	349
388	221	348
389	222	347
390	222	346
391	222	345
392	223	344
393	223	343
394	223	343
395	224	342
396	224	341
397	225	341
398	225	340
399	226	339
400	226	338
401	226	337
402	227	336
403	227	335
404	227	334
405	228	334
406	228	333
407	229	332
408	229	331
409	229	330
410	230	329
411	230	328
412	230	327
413	231	327
414	231	326
415	231	325
416	232	324
417	232	323
418	232	322
419	232	321
420	233	320
421	233	319
422	233	318
423	234	318
424	234	317
425	234	316
426	235	315
427	235	314
428	236	314
429	236	313
430	236	312
431	237	312
432	237	311
433	238	310
434	238	309
435	238	308
436	239	307
437	239	307
438	239	306
439	239	305
440	240	304
441	240	303
442	240	302
443	241	302
444	241	301
445	241	300
446	242	299
447	242	299
448	243	298
449	243	297
450	243	296
451	244	295
452	244	295
453	244	294
454	245	293
455	245	292
456	245	292
457	246	291
458	246	290
459	246	289
460	247	288
461	247	288
462	247	287
463	248	286
464	248	285
465	248	285
466	249	284
467	249	283
468	249	282
469	250	282
470	250	281
471	250	280
472	251	279
473	251	279
474	251	278
475	252	277
476	252	276
477	252	275
478	252	275
479	253	274
480	253	273
481	253	272
482	254	272
483	254	271
484	254	270
485	255	269
486	255	269
487	255	268
488	256	267
489	265	276
490	284	294
491	284	293
492	301	309
493	301	309
494	302	308
495	302	307
496	303	306
497	303	306
498	304	305
499	305	305
500	306	305
501	307	304
502	318	314
503	319	314
504	319	313
505	320	312
506	320	311
507	321	311
508	321	310
509	322	309
510	322	308
511	323	308
512	323	307
513	324	306
514	324	305
515	325	305
516	325	304
517	325	303
518	326	302
519	326	301
520	327	300
521	327	300
522	328	299
523	328	298
524	329	297
525	329	296
526	329	296
527	330	295
528	330	294
529	330	293
530	331	292
531	331	291
532	332	290
533	332	290
534	332	289
535	333	288
536	333	287
537	333	286
538	334	285
539	334	285
540	335	284
541	335	283
542	335	282
543	336	282
544	336	281
545	337	280
546	337	279
547	338	278
548	338	278
549	338	277
550	339	276
551	340	276
552	340	275
553	341	275
554	342	274
555	342	273
556	343	272
557	343	272
558	344	271
559	344	270
560	345	270
561	345	269
562	345	268
563	346	267
564	346	266
565	346	266
566	347	265
567	347	264
568	348	263
569	348	263
570	349	262
571	350	261
572	350	261
573	351	260
574	351	260
575	352	259
576	352	258
577	353	257
578	353	257
579	354	256
580	354	255
581	354	254
582	355	254
583	355	253
584	356	252
585	356	251
586	357	251
587	357	250
588	358	250
589	359	249
590	359	248
591	360	248
592	360	247
593	360	246
594	361	246
595	361	245
596	362	244
597	363	244
598	363	243
599	364	242
600	364	242
601	365	241
602	365	240
603	366	240
604	366	239
605	366	238
606	367	237
607	367	237
608	368	236
609	369	235
610	369	235
611	370	234
612	370	234
613	371	233
614	371	232
615	372	232
616	372	231
617	373	230
618	373	230
619	374	229
620	374	228
621	375	227
622	375	227
623	376	226
624	376	225
625	377	225
626	378	225
627	378	224
628	379	223
629	379	223
630	380	222
631	381	221
632	381	221
633	382	220
634	382	219
635	383	219
636	383	218
637	384	217
638	384	217
639	385	216
640	385	215
641	386	215
642	386	214
643	387	214
644	387	213
645	388	212
646	389	212
647	389	211
648	390	210
649	390	210
650	391	210
651	392	209
652	393	208
653	393	208
654	394	207
655	395	207
656	395	206
657	396	205
658	396	205
659	397	204
660	397	203
661	397	203
662	398	202
663	398	201
664	399	201
665	400	200
666	400	200
667	401	199
668	401	198
669	402	198
670	402	197
671	402	196
672	403	196
673	403	195
674	404	194
675	404	194
676	405	193
677	406	192
678	406	192
679	406	191
680	407	190
681	407	190
682	408	189
683	408	188
684	409	188
685	409	187
686	410	186
687	410	186
688	410	185
689	411	184
690	411	184
691	412	183
692	412	182
693	413	182
694	413	181
695	414	181
696	415	180
697	415	179
698	416	179
699	416	178
700	417	177
701	417	177
702	418	176
703	418	175
704	418	175
705	419	174
706	420	174
707	420	173
708	421	172
709	421	172
710	422	171
711	422	170
712	422	170
713	423	169
714	423	168
715	424	168
716	424	167
717	425	166
718	425	166
719	425	165
720	426	164
721	426	164
722	427	163
723	427	162
724	428	162
725	428	161
726	429	161
727	429	160
728	430	159
729	430	159
730	431	158
731	431	158
732	432	157
733	433	156
734	433	156
735	434	155
736	435	155
737	436	154
738	436	154
739	437	153
740	437	152
741	437	152
742	438	151
743	438	150
744	439	150
745	440	149
746	440	149
747	440	148
748	441	147
749	441	147
750	442	146
751	443	146
752	443	145
753	444	144
754	444	144
755	445	143
756	445	143
757	446	142
758	446	141
759	447	141
760	447	140
761	448	139
762	448	139
763	449	138
764	449	138
765	450	137
766	450	136
767	450	136
768	451	135
769	451	134
770	452	134
771	452	133
772	453	133
773	453	132
774	454	131
775	454	131
776	455	130
777	455	130
778	455	129
779	456	128
780	456	128
781	457	127
782	457	126
783	458	126
784	458	125
785	458	124
786	459	124
787	459	123
788	460	123
789	460	122
790	460	121
791	461	121
792	461	120
793	461	119
794	462	119
795	462	118
796	463	117
797	463	117
798	464	116
799	464	116
800	465	115
801	465	114
802	465	114
803	466	113
804	466	113
805	467	112
806	467	111
807	468	111
808	468	110
809	468	109
810	469	109
811	469	108
812	470	108
813	470	107
814	470	106
815	471	106
816	471	105
817	472	105
818	472	104
819	473	103
820	473	103
821	474	102
822	474	102
823	474	101
824	475	100
825	475	100
826	475	99
827	476	98
828	476	98
829	477	97
830	478	97
831	478	96
832	479	96
833	479	95
834	480	94
835	481	94
836	481	93
837	482	93
838	482	92
839	483	92
840	483	91
841	483	90
842	484	90
843	484	89
844	485	89
845	485	88
846	485	87
847	486	87
848	486	86
849	487	86
850	487	85
851	488	84
852	488	84
853	488	83
854	489	82
855	489	82
